a|يك(n;0.5)
immense|عظيم(j;0.75),وسيع(j;0.5),پهناور(j;0.5),بيكر(j;0.5),بي اندازه(j;0.5),كلان(j;0.5),بسيار خوب(j;0.5),عظيم الجثه(j;0.25),گزاف(j;0.25),ممتاز(j;0.25),عالي(j;0.25)
immerse|غوطه دادن(v;0.5),فرو بردن(v;0.5),پوشاندن(v;0.5),غسل ارتماسي دادن(v;0.5),زير اب كردن(v;0.5)
immigrant|مهاجر(n;0.75)
immigration|مهاجرت(n;0.75)
immune|مصون(j;0.5),ازاد(j;0.25),دارا مصونيت قانوني و پارلماني(j;0.25)
impact|ضربه(n;0.75),اصابت(n;0.25),ضربت(n;0.25),تماس(n;0.25),اثر شدن(n;0.25),ضرب(n;0.25),بهم فشردن(v;0.25),پيچيدن(v;0.25),زير فشار قرار دادن(v;0.25),با شدت ادا كردن(v;0.25),با شدت اصابت كردن(v;0.25)
impair|خراب كردن(v;0.5),زيان رساندن(v;0.5),معيوب كردن(v;0.5),خرد ساختن(v;0.5),ضعيف كردن(v;0.5)
imparting|موجب(n;0.75)
impels|impels(n;0.75),وادار كردن(v;0.75),مجبور ساختن(v;0.5),بر ان داشتن(v;0.75)
imperfect|ناقص(j;0.75),ناكامل(j;0.75),از بين رفتني(j;0.5),نا تمام(j;0.5)
imperial|شاهنشاهي(j;0.75),امپراتوري(j;0.75),با شكوه(j;0.5),با عظمت(j;0.25),عالي(j;0.25),مجلل(j;0.25),همايون(j;0.25),همايوني(n;0.25)
impermeable|نشت ناپذير(j;0.75)
impinge|تخطي كردن(v;0.75),حمله كردن(v;0.5),تجاوز كردن(v;0.5)
implement|انجام(n;0.5),اجرا(n;0.5),الت(n;0.25),ابزار(n;0.25),اسباب(n;0.25),افزار(n;0.25),انجام دادن(v;0.25),ايفا كردن(v;0.25),اجرا كردن(v;0.25)
implementation|اجرا(n;0.75),انجام(n;0.5)
implies|دلالت(n;0.75)
imply|اين مفهوم را رساندن(n;0.75)
import|واردات(n;0.75),كالا رسيدن(n;0.25),كالا واردن(n;0.25),وارد كردن(v;0.75),گذاشتن(v;0.25),به كشور اوردن(v;0.25),اظهار كردن(v;0.25),دخل داشتن به(v;0.25),تاثير كردن در(v;0.25),با پيروزي بدست امدن(v;0.25),تسخير كردن(v;0.25),اهميت داشتن(v;0.25)
importance|اهميت(n;0.75),قدر(n;0.25),اعتبار(n;0.25),نفوذ(n;0.25),شان(n;0.25),تقاضا(n;0.25),خطر(n;0.25)
important|مهم(j;0.75),عمده(j;0.5),خطير(j;0.25),فوق العادن(j;0.25),با اهميت(j;0.25),پر اهميت(j;0.25),ژرف(j;0.25)
impose|تحميل(n;0.75),تحميل كردن(v;0.5),اعمال نفوذ كردن(v;0.25),گرانبار كردن(v;0.25),ماليه بستن بر(v;0.25)
impossible|غير ممكن(j;0.75),غير ميسر(j;0.25),نامحتمل(j;0.25),امكان نا پذير(j;0.25),شدندن(j;0.25),ممتنع(j;0.25),غير عملي(j;0.25)
impress|تحت تاثير قرار دادن(v;0.75),باقي گذاشتن(v;0.25),تاثير كردن بر(v;0.25),مهر زدن(v;0.25),مهر(n;0.5),نشانه(n;0.25),نشان(n;0.25),اثر(n;0.25),نقش(n;0.25),نشان گذاشتن(n;0.25)
impression|احساس(n;0.75),تاثير(n;0.75),اثر(n;0.5),چاپ(n;0.5),گمان(n;0.5),عقيدن(n;0.5),جا مهر(n;0.25),خيال(n;0.25),ادراك(n;0.25),خاطره(n;0.25),نشان گذاري(n;0.25),خاطر(n;0.25)
impressionism|سبك هنري امپرسيونيسم(n;0.75),مكتب تجسم(n;0.75)
impressive|موثر(j;0.75),گيرا(j;0.5),برانگيزدن(j;0.25),برانگيزدن احساسه(j;0.25)
imprisonment|حبس(n;0.75),زنداني شدن(n;0.5),حبسي(n;0.25),دوره زنداني را گذراندن(n;0.25)
improve|هبودن(n;0.75)
improvement|هبودن(n;0.75),هسازدن(n;0.75),پيشرفت(n;0.5),تكميل(n;0.25),به شدن(n;0.25),تهذيب(n;0.25),تكامل(n;0.25)
improver|هبودن(n;0.75)
improving|هبودن(n;0.75)
in|به(n;0.75),از(n;0.5),با(n;0.5),تو(n;0.25),اندر(n;0.25),در ظرف(n;0.25),هنگام(n;0.25),بالا(n;0.25),رو(n;0.25),نزديك(n;0.25),در تو(n;0.25),بطرف(n;0.25),نزديك ساحل(n;0.25),بر حسب(n;0.25)
inaccessible|غير قابل دسترس(n;0.75),خارجاز دسترس(j;0.5),منيع(j;0.5)
inadequate|ناكافي(n;0.75)
inappropriate|نا مناسب(j;0.75),غير مقتضي(j;0.25),ناجور(j;0.25),بي مورد(j;0.25),بي جا(j;0.25),بي موقع(j;0.25)
inbred|غريزي(j;0.5),جبلي(j;0.5),ذاتي(j;0.5),فطري(j;0.5)
inbreeding|درون همسري(n;0.5),تخم كشي از جانور همتيره(n;0.5),توليد و تناسل در ميان هم نژاد(n;0.5)
inc|INC(n;0.75)
incentive|انگيزه(n;0.75),مشوق(j;0.5),اتش افروز(j;0.25)
inception|شروع(n;0.5),اغاز(n;0.5),اصل(n;0.25),اكتساب(n;0.25),دريافت(n;0.25),سر(n;0.25),درجه گيري(n;0.25),بستن نطفه(n;0.25)
incest|زنا با محارم(n;0.75),زنا با محارم و نزديك(n;0.5)
incident|حادثه(n;0.75),تصادف اتومبيل(n;0.25),واقعه(n;0.75),مصيبت ناگهاني(n;0.25),تلافي(n;0.25),تصادف(n;0.25),رو دادن(n;0.25),حتمي وابستن(n;0.25),شايع(j;0.25),تابع(j;0.25)
include|شامل(n;0.75),قرار دادن(v;0.5),شمردن(v;0.25),در برداشتن(v;0.25),شامل بودن(v;0.25),به حساب اوردن(v;0.25),عبارت بودن از(v;0.25),متضمن بودن(v;0.25)
includes|شامل(n;0.75),قرار دادن(v;0.5),شمردن(v;0.25),در برداشتن(v;0.25),شامل بودن(v;0.25),به حساب اوردن(v;0.25),عبارت بودن از(v;0.25),متضمن بودن(v;0.25)
inclusion|شمول(n;0.75),گنجا(n;0.5),دخول(n;0.25),در برداري(n;0.25)
income|عايده(n;0.5),درامد(n;0.5),عايدي(n;0.25),دخل(n;0.25),جريان(n;0.25),وروديه(n;0.25),وارد شدن(n;0.25),جديد الورود(n;0.25)
incoming|وارد شدن(j;0.5),ايندن(j;0.25),امده(j;0.25),عايد شدن(j;0.25),دخول(n;0.25)
incompatible|نا سازگار(j;0.5),نا موافق(j;0.25),ناجور(j;0.25),غير قابل استعمال با يكديگر(j;0.25),متناقض(j;0.25),نا مناسب(j;0.25)
inconvenient|ناجور(j;0.75),ناراحت(j;0.75)
incorporate|تركيب كردن(v;0.5),يكي كردن(v;0.5),جا دادن(v;0.5),بهم پيوستن(v;0.25),متحد كردن(v;0.25),داخل كردن(v;0.25),دارا شخصيت حقوقي كردن(v;0.25),ثبت كردن(v;0.25),اميختن(v;0.25),غير جسماني(j;0.25)
increase|افزا(n;0.75),رشد(n;0.5),اضافه(n;0.25),ترقي(n;0.25),توسعه(n;0.25),فزوني(n;0.25),تكثير(n;0.25),زياد شدن(v;0.5),افزودن(v;0.5),زياد كردن(v;0.25),توسعه دادن(v;0.25),توانگر كردن(v;0.25),ترفيع دادن(v;0.25),تكثير كردن(v;0.25)
increasingly|به طور فزايدن(n;0.75)
incremental|افزايشي(n;0.75)
inculcates|inculcates(n;0.75),فرو كردن(v;0.75),پايمال كردن(v;0.75),جايگير ساختن(v;0.5),تلقين كردن(v;0.5),فهماندن(v;0.5)
incur|وارد امدن(v;0.5),موجب شدن(v;0.5),متحمل شدن بر(v;0.5)
indeed|در واقع(d;0.75),واقعا(d;0.5),حقيقتا(d;0.5),همانا(d;0.5),براستن(d;0.5),هر اينه(d;0.25),فيالواقع(d;0.25),اره راستن(d;0.25),فعلا(d;0.25),محققا(d;0.25)
indelible|ماندگار(j;0.75),پاك شدندن(j;0.75),محو شدندن(j;0.5),ثابت(j;0.5)
independence|استقلال(n;0.75),ازادي(n;0.25),بي نيازي از ديگر(n;0.25)
independent|مستقل(j;0.75),مطلق(j;0.25),خود مختار(j;0.25),دارا قدرت مطلقه(j;0.25),سرخود(j;0.25)
independently|به طور مستقل(n;0.75)
index|شاخص(n;0.75),فهرست(n;0.75),نمايه(n;0.5),علامت(n;0.25),راهنما(n;0.25),جاانگشتن(n;0.25),نما(n;0.25),راهنما موضوعه(n;0.25),فهرست راهنما(n;0.25),فهرست ماده(n;0.25),سبابه(n;0.25),دارا فهرست كردن(v;0.25),بفهرست دراوردن(v;0.25),نشان دادن(v;0.25),بصورتالفبا مرتب كردن(v;0.25),فهرست كردن(v;0.25)
india|هندوستان(n;0.75)
indian|هندي(n;0.75)
indicate|ن دادن(v;0.5),حاكي بودن(v;0.25),نماي ساختن(v;0.25),اشاره كردن بر(v;0.25)
indication|اشاره(n;0.75),نشانه(n;0.75),علامت(n;0.5),نشان(n;0.75),دلالت(n;0.5),بروز(n;0.25),قرينه(n;0.25)
indicator|شاخص(n;0.75),انديكاتور(n;0.5),نماينده(n;0.25),اندازه(n;0.25),مقياس(n;0.25)
indie|Indie در(n;0.75)
indigenous|بومي(j;0.75),طبيعي(j;0.5),ذاتي(j;0.25),فطري(j;0.25)
indispensable|ضروري(j;0.75),حتمي(j;0.5),واجب(j;0.5),چاره نا پذير(j;0.25),صرفنظر كردندن(j;0.25),لازم الاجرا(j;0.25),نا گزير(j;0.25)
individual|فردي(j;0.75),تك(j;0.5),منحصر فردن(j;0.25),متعلق فردن(j;0.25),فرد(n;0.75),شخص(n;0.5)
individuals|افراد(n;0.75),فرد(n;0.75),شخص(n;0.5)
indivisible|غير قابل تقسيم(j;0.5)
indoors|در داخل خانه(n;0.75)
indulged|زيادن رو(n;0.75)
indulgence|زيادن رو(n;0.75),افراط(n;0.75)
industrial|صنعتي(j;0.75),دارا صنيعه بزرگ(j;0.25),اهل صنعت(n;0.25)
industry|صنعت(n;0.75),صنيعه(n;0.75),پيشه و هنر(n;0.25),ابتكار(n;0.25),مجاهدت(n;0.25)
inequity|بي عدالتي(n;0.75),بي انصافي(n;0.5),نا درستن(n;0.5),خلاف موازين انصاف(n;0.5)
inevitable|اجتناب ناپذير(j;0.75),ديهدن(j;0.5),نا گزير(j;0.25),نا چار(j;0.25),چاره نا پذير(j;0.25),غير قابل امتناع(j;0.25),حتمي الوقوع(j;0.25)
inevitably|به ناچار(n;0.75)
inexpensive|ارز(j;0.75),كم خرج(j;0.25),صرفه جو(j;0.25)
infant|كودك(n;0.5),طفل(n;0.5),بچه(n;0.5),بچه كم از هفت سال(n;0.25),غير بالغ(j;0.25)
infertility|ناباروري(n;0.75)
infinitum|تا بي نهايت(n;0.75)
inflation|تورم(n;0.75),پف(n;0.25)
influence|نفوذ(n;0.75),تاثير(n;0.75),اعتبار(n;0.25),برتري(n;0.25),تفوق(n;0.25),توانا(n;0.25),تجلي(n;0.25),نفوذ كردن بر(v;0.25),تحت نفوذ خود قرار دادن(v;0.25),تاثير كردن بر(v;0.25),وادار كردن(v;0.25),ترغيب كردن(v;0.25)
influenza|انفلوانزا(n;0.5),گريپ(n;0.25),زكام(n;0.25),نزله وبا يا همه جا گير(n;0.25)
influenzae|انفلوانزا(n;0.75)
inform|اطلاع دادن(v;0.5),اگاهي دادن(v;0.25),چغلي كردن(v;0.25),خبرچيني كردن(v;0.25),خبر دادن(v;0.25),مطلبي را رساندن(v;0.25),مستحضر داشتن(v;0.25),اگاه كردن(v;0.25),گفتن(v;0.25),خبردادن از(v;0.25)
informal|غير رسمي(j;0.75),خصوصي(j;0.25),بي قاعده(j;0.25),بي تشرفات(j;0.25)
information|اطلاعه(n;0.75),سوابق(n;0.25),اطلاع(n;0.5),خبر(n;0.25),معلومه(n;0.5),اخبار(n;0.25),مفروضه(n;0.25),اگاهه(n;0.25),پرسشگاه(n;0.25),استخبار(n;0.25),سراغ(n;0.25)
infrastructure|شالودن(n;0.5),زير بنا(n;0.5),زير سازي(n;0.5),پيدا(n;0.25),سازمان(n;0.25)
infringement|تخلف(n;0.75),تجاوز(n;0.5),تعدي(n;0.5)
ingredient|جز(n;0.75),ذره(n;0.5),جز تركيبي(n;0.5)
inhabitable|قابل سكني(j;0.75)
inhalation|استنشاق(n;0.75),شهيق(n;0.25)
inherent|ذاتي(j;0.75),اصلي(j;0.5),طبيعي(j;0.5),ملازم(j;0.25),چسبدن(j;0.25)
inheritance|وراثت(n;0.75),اري(n;0.25),ميرا(n;0.25),مرده ريگ(n;0.25),ميرا بري(n;0.25)
inhibit|مهار(n;0.75)
inhuman|غير انسان(j;0.75),بي عاطفه(j;0.5),فاقد خو انسان(j;0.5),نامردن(j;0.25)
initial|ابتدا(j;0.5),اول(j;0.5),نخستين(j;0.5),اولين(j;0.5),اصلي(j;0.25),بدو(j;0.25),اغازي(j;0.25),واقع در اغاز(j;0.25),در اغاز قرار دادن(v;0.25),پاراف كردن(v;0.25),اغاز كردن(v;0.25),اولين قسمت(n;0.25)
initially|در ابتدا(n;0.75)
initiate|وارد كردن(v;0.5),ابتكار كردن(v;0.25),تازه وارد كردن(v;0.25),اغاز كردن(v;0.25),نيادن نهادن(v;0.25),نخستين قدم را برداشتن(v;0.25)
initiated|اغاز(n;0.75)
initiative|ابتكار(n;0.75),قريحه(n;0.25),پيشقدمي(j;0.25),اغازي(j;0.25)
injunction|دستور(n;0.75),نهي(n;0.5),قدغن(n;0.5),حكم بازداشت(n;0.5),اتحاد(n;0.5)
injure|اسيب زدن(v;0.5),ازار رساندن(v;0.5)
injury|صدمه(n;0.75),اسيب(n;0.25),ضرر(n;0.25)
ink|جوهر(n;0.75),مركب زدن(v;0.25)
inner|داخلي(j;0.75),دروني(j;0.75),باطني(j;0.5),تو(j;0.25),روحي(j;0.25),خودماني(j;0.25)
innocence|برائت(n;0.75),بي گناهي(n;0.75),پاكي(n;0.5),بي تقصيري(n;0.25)
innocent|بي گناه(j;0.75),معصوم(j;0.75),بي تقصير(j;0.5),مبرا(j;0.5),مقدس(j;0.25),بي ضرر(j;0.25),منزه(j;0.25),ادم بيگناه(n;0.25),ادم ساده(n;0.25)
innovation|ابداع(n;0.5),بدعت(n;0.5),تغيير(n;0.25),چيز تازه(n;0.25),نو اوري(n;0.25)
innovative|نواورانه(n;0.75)
innovator|مبتكر(n;0.75),بدعت گذار(n;0.5),نو اور(n;0.5)
input|ورودي(n;0.75)
inquiry|استعلام(n;0.75),تحقيق(n;0.75),پرس و جو(n;0.75),جستار(n;0.5),استفسار(n;0.25),سئوال(n;0.25),پرسش(n;0.75),رسيده(n;0.5),خبر گيري(n;0.25),سراغ(n;0.25),باز جو(n;0.25)
inscribe|نوشتن(v;0.75),نقش كردن(v;0.5),حكاكي كردن(v;0.5),ثبت كردن(v;0.5),محاط كردن(v;0.5),حجاري كردن رو سطوح و ستون(v;0.5)
insecurity|نا امني(n;0.75),تزلزل(n;0.5)
inside|داخل(n;0.75),باطن(n;0.25),تو(n;0.25),عضو داخلي(n;0.25),درون(d;0.75),بطن هر چيزي(d;0.25),نزديك بمركز(d;0.25),داخل و يا تو چيزي(n;0.25),نزديك بمركز(j;0.25),قسمت داخلي(j;0.25)
insignificance|كمي(n;0.75),بي معني گري(n;0.75),ناچيزي(n;0.5),بي اهميتي(n;0.5),ناقابلي(n;0.5)
insignificant|ناچيز(j;0.75),قليل(j;0.25)
insist|اصرار(n;0.75)
insistence|اصرار(n;0.75),پافشاري(n;0.75),سماجت(n;0.75),مقاومت(n;0.5)
inspection|بازرسي(n;0.75),بازدن(n;0.5),تفتيش(n;0.5),سركشي(n;0.25),معاينه(n;0.5),سان(n;0.25)
inspector|بازرس(n;0.75),مفتش(n;0.5)
inspiration|الهام(n;0.75),وحي(n;0.5),شهيق(n;0.25),استنشاق(n;0.25),القا(n;0.25),گرا(n;0.25),نفس عميق(n;0.25),تشويق(n;0.25)
inspire|الهام بخشيدن(v;0.75),در كشيدن نفس(v;0.25),استنشاق كردن(v;0.25),دميدن در(v;0.25),القا كردن(v;0.25),نفس عميق كشيدن(v;0.25),سر غيرت اوردن(v;0.25)
install|نصب(n;0.75),نصب كردن(v;0.5),كار گذاشتن(v;0.25),منصوب نمودن(v;0.25)
installation|تاسيسات(n;0.75),نصب(n;0.75)
instance|نمونه(n;0.75),مثال(n;0.75),مورد(n;0.5),لحظه(n;0.25),مثل(n;0.25),شاهد(n;0.25),سرمشق(n;0.25),بعنو مثال ذكر كردن(v;0.25)
instantly|فورا(d;0.75),مستقيما(d;0.5)
instead|در عوض(d;0.75),بجا(d;0.75),بعوض(d;0.25)
institute|موسسه(n;0.75),انجمن(n;0.25),نيادن(n;0.5),ندادن(n;0.25),بنگاه(n;0.25),هيئت شورا(n;0.25),فرمان(n;0.25),اصل قانوني(n;0.25),نيادن نهادن(v;0.25),برقرار كردن(v;0.25),تاسيس كردن(v;0.25)
institution|موسسه(n;0.75),نهاد(n;0.75),بنگاه(n;0.5),تاسيس قضا(n;0.25),اصل حقوقي(n;0.25),رسم معمول(n;0.25)
institutional|هاديدن(n;0.75)
institutionalize|رسمي كردن(v;0.5),در بيمارستان ستردن كردن(v;0.5),تبديل به موسسه كردن(v;0.5),در موسسه يا بنگاه قرار دادن(v;0.5)
instruction|دستور العمل(n;0.5),راهنما(n;0.5),فرمان(n;0.25),سفارش(n;0.25),اموزش(n;0.25)
instructive|اموزدن(j;0.5),ياد دادن(j;0.5)
instrument|وسيله(n;0.5),الت(n;0.25),اسباب(n;0.25),سند(n;0.5),ادوه(n;0.25)
insufferable|طاقت فرسا(j;0.75),غير قابل تحمل(j;0.75),تحمل ناپذير(j;0.75),سخت(j;0.25)
insult|توهين(n;0.75),سب(n;0.5),خواري(n;0.25),خون ريزي(n;0.25),توهين كردن به(v;0.25),بي احترامي كردن به(v;0.25),خوار كردن(v;0.25),فحش دادن(v;0.25)
insurance|بيمه(n;0.75),حق بيمه(n;0.25),پول بيمه(n;0.25)
insurgency|شورش(n;0.75),طغيان(n;0.5),تمرد(n;0.25),قيام(n;0.5),ياغيگري(n;0.25)
insurgent|شورشي(j;0.75),متمرد(n;0.25)
intake|مصرف(n;0.75)
integral|انتگرال(n;0.75),كامل(j;0.5),تمام(j;0.25),صحيح(j;0.5),درست(j;0.5),بي كسر(j;0.25)
integrated|يكپارچه(n;0.75)
integration|ادغام(n;0.75)
integrity|تماميت(n;0.75),درستن(n;0.5),امانت(n;0.5),راستن(n;0.25),بي عيبي(n;0.25),كمال(n;0.5)
intellectual|فكري(j;0.75),عقلاني(j;0.5),ذهني(j;0.5),دارا فكر لندن(j;0.25),خردمند(j;0.25),روشن فكر(j;0.25),خردمند(n;0.25)
intelligence|هوش(n;0.75),فهم(n;0.25),خرد(n;0.25),جاسوسي(n;0.5),ذكاوت(n;0.25),زيركي(n;0.25),فراست(n;0.25),بينش(n;0.25),اگاهي(n;0.25),روح پاك يا دانشمند(n;0.25)
intend|قصد(n;0.75)
intense|شتن(j;0.75),قو(j;0.5),سخت(j;0.5),زياد(j;0.5),مشتاقانه(j;0.25)
intensity|شدت(n;0.75),سختن(n;0.25),نيرومندي(n;0.25),قوت(n;0.25),كثرت(n;0.25),سيري(n;0.25)
intensive|شتن(j;0.5),متمركز(j;0.5),تشديدي(j;0.25),پرقوت(j;0.25),مشتاقانه(j;0.25),تند(j;0.25)
intent|قصد(n;0.75),منظور(n;0.5),نيت(n;0.5),مرام(n;0.25),مفاد(n;0.5),تصميم(n;0.5),معني(n;0.25),فكر(n;0.25),عمد(n;0.25),مصمم(j;0.5)
intention|قصد(n;0.75),مفهوم(n;0.25),منظور(n;0.5),مقصود(n;0.5),تصميم(n;0.5),عزم(n;0.5),غرض(n;0.5),خيال(n;0.25),فكر(n;0.25),عمد(n;0.25),عزيمت(n;0.25),مراد(n;0.25)
intently|بدقت(d;0.75)
inter|بين(n;0.75)
interdependence|وابسته(n;0.75),اتكا متقابل(n;0.5)
interest|علاقه(n;0.75),بهره(n;0.75),سود(n;0.75),سهم(n;0.5),مصلحت(n;0.5),تنزيل(n;0.25),دلبسته(n;0.25),فرع(n;0.25),علاقه و علاقمند كردن(v;0.25),ذينفع كردن(v;0.25),بر سر ميل اوردن(v;0.25)
interested|علاقمند(j;0.75),ذينفع(j;0.5),ذيعلاقه(j;0.25)
interim|موقت(j;0.75),موقتي(j;0.5),سپنج(j;0.25),فاصله(n;0.5),خلال مدت(n;0.25)
interior|داخلي(j;0.75),دروني(j;0.5),دور از مرز(j;0.25),دور از كرانه(j;0.25)
internal|(n;0.75)
international|بين المللي(j;0.75),وابستن به رابطه بين المللي(j;0.25)
internet|اينترنت(n;0.75)
interoperability|قابليت همكاري(n;0.75)
interpret|تفسير كردن(v;0.5),درك كردن(v;0.25),ترجمه كردن(v;0.25),ترجمه شفاهي كردن(v;0.25),معني كردن(v;0.25)
interpretation|تفسير(n;0.75),شرح(n;0.25),بيان(n;0.25),ترجمه(n;0.75),تعبير(n;0.5)
interpreter|مترجم(n;0.75),ترجم(n;0.5),مترجم شفاهي(n;0.5)
interrelationship|روابط متقابل(n;0.75)
interrogation|بازجو(n;0.75)
interrupt|قطع كردن(v;0.5),گسيختن(v;0.25),حرف ديگري را قطع كردن(v;0.25),منقطع كردن(v;0.25)
intervention|مداخله(n;0.75),شفاعت(n;0.25)
interview|مصاحبه(n;0.75)
interviewer|مصاحبه(n;0.75)
intestinal|رود(j;0.5),امعا(j;0.25),روده دار(j;0.25)
intimate|صميمي(j;0.75),خودماني(j;0.75),محبوب(j;0.25),محرم(n;0.5),مانوس(n;0.25),مطلبي را رساندن(v;0.25),گفتن(v;0.25),محرم ساختن(v;0.25)
intimidation|ارعاب(n;0.75)
into|به(n;0.75),تو(n;0.5),بسو(n;0.5),اندر(n;0.25),در ميان(n;0.25),در ظرف(n;0.25),بطرف(n;0.25),نسبت به(n;0.25)
intourist|intourist(n;0.75)
intra|درون(n;0.75)
intracerebral|داخل مغزي(n;0.75)
